[06/08/2020][12:39:25]  -system sys,start server 
[06/08/2020][12:39:25]  -system err, Reading Guild error - Guild counter zero 
[06/08/2020][12:39:37]  -system err,No empty mobgrid(1): 134 2274 2151 
[06/08/2020][12:39:37]  -system err,No empty mobgrid(1): 139 2274 2104 
[06/08/2020][12:39:37]  -system err,No empty mobgrid: 143 2284 2116 
[06/08/2020][12:39:37]  -system err,No empty mobgrid(1): 261 2344 2156 
[06/08/2020][12:39:37]  -system err,No empty mobgrid(1): 268 2362 2170 
[06/08/2020][12:39:37]  -system err,No empty mobgrid(1): 337 2319 2218 
[06/08/2020][12:39:37]  -system err,No empty mobgrid(1): 426 2474 2084 
[06/08/2020][12:39:37]  -system err,No empty mobgrid: 536 2514 2007 
[06/08/2020][12:39:37]  -system err,No empty mobgrid(1): 569 2540 2004 
[06/08/2020][12:39:37]  -system err,No empty mobgrid(1): 793 2484 1836 
[06/08/2020][12:39:37]  -system err,No empty mobgrid: 797 2526 1834 
[06/08/2020][12:39:37]  -system err,No empty mobgrid(1): 878 2628 2050 
[06/08/2020][12:39:37]  -system err,No empty mobgrid(1): 996 2414 1730 
[06/08/2020][12:39:37]  -system err,No empty mobgrid(1): 1005 2369 1743 
[06/08/2020][12:39:37]  -system err,No empty mobgrid(1): 1013 2424 1710 
[06/08/2020][12:39:37]  -system err,No empty mobgrid(1): 1042 2350 1736 
[06/08/2020][12:39:37]  -system err,No empty mobgrid(1): 1066 2369 1680 
[06/08/2020][12:39:37]  -system err,No empty mobgrid(1): 1104 2336 1616 
[06/08/2020][12:39:37]  -system err,No empty mobgrid(1): 1174 2274 1710 
[06/08/2020][12:39:37]  -system err,No empty mobgrid(1): 1177 2274 1681 
[06/08/2020][12:39:37]  -system err,No empty mobgrid(1): 1206 2195 1691 
[06/08/2020][12:39:37]  -system err,No empty mobgrid(1): 1298 1977 1624 
[06/08/2020][12:39:37]  -system err,No empty mobgrid(1): 1554 2262 1252 
[06/08/2020][12:39:37]  -system err,No empty mobgrid(1): 1751 168 3788 
[06/08/2020][12:39:37]  -system err,No empty mobgrid(1): 1827 276 3742 
[06/08/2020][12:39:37]  -system err,No empty mobgrid(1): 1830 279 3791 
[06/08/2020][12:39:37]  -system err,No empty mobgrid(1): 1897 376 3812 
[06/08/2020][12:39:37]  -system err,No empty mobgrid(1): 1901 388 3816 
[06/08/2020][12:39:37]  -system err,No empty mobgrid(1): 1906 400 3798 
[06/08/2020][12:39:37]  -system err,No empty mobgrid(1): 1909 384 3769 
[06/08/2020][12:39:37]  -system err,No empty mobgrid(1): 1972 400 3824 
[06/08/2020][12:39:37]  -system err,No empty mobgrid(1): 1995 560 3802 
[06/08/2020][12:39:37]  -system err,No empty mobgrid(1): 2019 596 3772 
[06/08/2020][12:39:37]  -system err,No empty mobgrid(1): 2086 750 3809 
[06/08/2020][12:39:37]  -system err,No empty mobgrid(1): 2220 420 4027 
[06/08/2020][12:39:37]  -system err,No empty mobgrid(1): 2542 930 3804 
[06/08/2020][12:39:37]  -system err,No empty mobgrid(1): 2646 1124 3786 
[06/08/2020][12:39:37]  -system err,No empty mobgrid(1): 2652 2324 2190 
[06/08/2020][12:39:37]  -system err,No empty mobgrid(1): 2661 2322 2195 
[06/08/2020][12:39:37]  -system err,No empty mobgrid(1): 2974 1473 3987 
[06/08/2020][12:39:37]  -system err,No empty mobgrid(1): 3354 1337 1705 
[06/08/2020][12:39:37]  -system err,No empty mobgrid(1): 3375 1302 1679 
[06/08/2020][12:39:37]  -system err,No empty mobgrid: 3840 804 4058 
[06/08/2020][12:39:37]  -system err,No empty mobgrid(1): 3852 2112 1636 
[06/08/2020][12:39:37]  -system err,No empty mobgrid(1): 3855 2061 1635 
[06/08/2020][12:39:37]  -system err,No empty mobgrid(1): 3860 2087 1610 
[06/08/2020][12:39:37]  -system err,No empty mobgrid: 3864 2138 1623 
[06/08/2020][12:39:37]  -system err,No empty mobgrid: 3865 2050 1617 
[06/08/2020][12:39:37]  -system err,No empty mobgrid(1): 3871 2107 1594 
[06/08/2020][12:39:37]  -system err,No empty mobgrid(1): 3879 2139 1566 
[06/08/2020][12:39:37]  -system err,No empty mobgrid(1): 3889 2095 1550 
[06/08/2020][12:39:37]  -system err,No empty mobgrid(1): 3890 2117 1552 
[06/08/2020][12:39:37]  -system err,No empty mobgrid(1): 3891 2134 1552 
[06/08/2020][12:39:37]  -system err,No empty mobgrid: 3894 2038 1572 
[06/08/2020][12:39:37]  -system err,No empty mobgrid(1): 5655 3348 1618 
[06/08/2020][12:39:38]  -system err,No empty mobgrid(1): 5965 3390 1088 
[06/08/2020][12:39:38]  -system err,No empty mobgrid(1): 5971 3388 1086 
[06/08/2020][12:39:47] IP: 192.168.0.103 ADMIN clo,fd 2-0 
[06/08/2020][12:39:47] IP: 192.168.0.103 ADMIN CNFAccountLogin Mac: -271216030.113987390.-1693738811.1456405556 
[06/08/2020][12:39:49]  -system err,No empty mobgrid(1): 100 2226 2062 
[06/08/2020][12:39:49]  -system err,No empty mobgrid(1): 153 2266 2082 
[06/08/2020][12:39:49]  -system err,No empty mobgrid(1): 223 2350 2131 
[06/08/2020][12:39:49]  -system err,No empty mobgrid(1): 230 2363 2148 
[06/08/2020][12:39:49]  -system err,No empty mobgrid(1): 250 2382 2140 
[06/08/2020][12:39:49]  -system err,No empty mobgrid(1): 252 2398 2138 
[06/08/2020][12:39:49]  -system err,No empty mobgrid(1): 337 2319 2218 
[06/08/2020][12:39:49]  -system err,No empty mobgrid(1): 349 2348 2234 
[06/08/2020][12:39:49]  -system err,No empty mobgrid: 353 2390 2236 
[06/08/2020][12:39:49]  -system err,No empty mobgrid(1): 601 2543 1955 
[06/08/2020][12:39:49]  -system err,No empty mobgrid(1): 704 2654 2004 
[06/08/2020][12:39:49]  -system err,No empty mobgrid: 792 2476 1836 
[06/08/2020][12:39:49]  -system err,No empty mobgrid(1): 798 2535 1832 
[06/08/2020][12:39:49]  -system err,No empty mobgrid(1): 1177 2276 1683 
[06/08/2020][12:39:49]  -system err,No empty mobgrid: 1181 2249 1748 
[06/08/2020][12:39:49]  -system err,No empty mobgrid: 1199 2209 1682 
[06/08/2020][12:39:49]  -system err,No empty mobgrid(1): 1293 1945 1575 
[06/08/2020][12:39:49]  -system err,No empty mobgrid(1): 1405 1873 1758 
[06/08/2020][12:39:49]  -system err,No empty mobgrid(1): 1463 1807 1697 
[06/08/2020][12:39:49]  -system err,No empty mobgrid(1): 1467 2192 1486 
[06/08/2020][12:39:49]  -system err,No empty mobgrid(1): 1523 2279 1315 
[06/08/2020][12:39:49]  -system err,No empty mobgrid(1): 1934 436 3788 
[06/08/2020][12:39:49]  -system err,No empty mobgrid(1): 2048 664 3766 
[06/08/2020][12:39:49]  -system err,No empty mobgrid(1): 2229 488 4040 
[06/08/2020][12:39:49]  -system err,No empty mobgrid(1): 2239 413 4066 
[06/08/2020][12:39:49]  -system err,No empty mobgrid(1): 2541 927 3810 
[06/08/2020][12:39:49]  -system err,No empty mobgrid(1): 2949 1405 4056 
[06/08/2020][12:39:49]  -system err,No empty mobgrid(1): 3511 1332 4041 
[06/08/2020][12:39:49]  -system err,No empty mobgrid(1): 3852 2112 1635 
[06/08/2020][12:39:49]  -system err,No empty mobgrid(1): 3860 2087 1613 
[06/08/2020][12:39:49]  -system err,No empty mobgrid(1): 3879 2139 1565 
[06/08/2020][12:39:49]  -system err,No empty mobgrid(1): 3891 2132 1550 
[06/08/2020][12:39:49]  -system err,No empty mobgrid(1): 4036 3621 2822 
[06/08/2020][12:39:49]  -system err,No empty mobgrid(1): 5965 3390 1087 
[06/08/2020][12:39:49]  -system err,No empty mobgrid(1): 5971 3389 1087 
