[06/08/2020][11:40:02]  -system sys,start server 
[06/08/2020][11:40:02]  -system err, Reading Guild error - Guild counter zero 
[06/08/2020][11:40:14]  -system err,No empty mobgrid(1): 134 2274 2151 
[06/08/2020][11:40:14]  -system err,No empty mobgrid(1): 139 2274 2104 
[06/08/2020][11:40:14]  -system err,No empty mobgrid: 143 2284 2116 
[06/08/2020][11:40:14]  -system err,No empty mobgrid(1): 261 2344 2156 
[06/08/2020][11:40:14]  -system err,No empty mobgrid(1): 268 2362 2170 
[06/08/2020][11:40:14]  -system err,No empty mobgrid(1): 337 2319 2218 
[06/08/2020][11:40:14]  -system err,No empty mobgrid(1): 426 2474 2084 
[06/08/2020][11:40:14]  -system err,No empty mobgrid: 536 2514 2007 
[06/08/2020][11:40:14]  -system err,No empty mobgrid(1): 569 2540 2004 
[06/08/2020][11:40:14]  -system err,No empty mobgrid(1): 793 2484 1836 
[06/08/2020][11:40:14]  -system err,No empty mobgrid: 797 2526 1834 
[06/08/2020][11:40:14]  -system err,No empty mobgrid(1): 878 2628 2050 
[06/08/2020][11:40:14]  -system err,No empty mobgrid(1): 996 2414 1730 
[06/08/2020][11:40:14]  -system err,No empty mobgrid(1): 1005 2369 1743 
[06/08/2020][11:40:14]  -system err,No empty mobgrid(1): 1013 2424 1710 
[06/08/2020][11:40:14]  -system err,No empty mobgrid(1): 1042 2350 1736 
[06/08/2020][11:40:14]  -system err,No empty mobgrid(1): 1066 2369 1680 
[06/08/2020][11:40:14]  -system err,No empty mobgrid(1): 1104 2336 1616 
[06/08/2020][11:40:14]  -system err,No empty mobgrid(1): 1174 2274 1710 
[06/08/2020][11:40:14]  -system err,No empty mobgrid(1): 1177 2274 1681 
[06/08/2020][11:40:14]  -system err,No empty mobgrid(1): 1206 2195 1691 
[06/08/2020][11:40:14]  -system err,No empty mobgrid(1): 1298 1977 1624 
[06/08/2020][11:40:14]  -system err,No empty mobgrid(1): 1554 2262 1252 
[06/08/2020][11:40:14]  -system err,No empty mobgrid(1): 1751 168 3788 
[06/08/2020][11:40:14]  -system err,No empty mobgrid(1): 1827 276 3742 
[06/08/2020][11:40:14]  -system err,No empty mobgrid(1): 1830 279 3791 
[06/08/2020][11:40:14]  -system err,No empty mobgrid(1): 1897 376 3812 
[06/08/2020][11:40:14]  -system err,No empty mobgrid(1): 1901 388 3816 
[06/08/2020][11:40:14]  -system err,No empty mobgrid(1): 1906 400 3798 
[06/08/2020][11:40:14]  -system err,No empty mobgrid(1): 1909 384 3769 
[06/08/2020][11:40:14]  -system err,No empty mobgrid(1): 1972 400 3824 
[06/08/2020][11:40:14]  -system err,No empty mobgrid(1): 1995 560 3802 
[06/08/2020][11:40:14]  -system err,No empty mobgrid(1): 2019 596 3772 
[06/08/2020][11:40:14]  -system err,No empty mobgrid(1): 2086 750 3809 
[06/08/2020][11:40:14]  -system err,No empty mobgrid(1): 2220 420 4027 
[06/08/2020][11:40:14]  -system err,No empty mobgrid(1): 2542 930 3804 
[06/08/2020][11:40:14]  -system err,No empty mobgrid(1): 2646 1124 3786 
[06/08/2020][11:40:14]  -system err,No empty mobgrid(1): 2652 2324 2190 
[06/08/2020][11:40:14]  -system err,No empty mobgrid(1): 2661 2322 2195 
[06/08/2020][11:40:14]  -system err,No empty mobgrid(1): 2974 1473 3987 
[06/08/2020][11:40:14]  -system err,No empty mobgrid(1): 3354 1337 1705 
[06/08/2020][11:40:14]  -system err,No empty mobgrid(1): 3375 1302 1679 
[06/08/2020][11:40:14]  -system err,No empty mobgrid: 3840 804 4058 
[06/08/2020][11:40:14]  -system err,No empty mobgrid(1): 3852 2112 1636 
[06/08/2020][11:40:14]  -system err,No empty mobgrid(1): 3855 2061 1635 
[06/08/2020][11:40:14]  -system err,No empty mobgrid(1): 3860 2087 1610 
[06/08/2020][11:40:14]  -system err,No empty mobgrid: 3864 2138 1623 
[06/08/2020][11:40:14]  -system err,No empty mobgrid: 3865 2050 1617 
[06/08/2020][11:40:14]  -system err,No empty mobgrid(1): 3871 2107 1594 
[06/08/2020][11:40:14]  -system err,No empty mobgrid(1): 3879 2139 1566 
[06/08/2020][11:40:14]  -system err,No empty mobgrid(1): 3889 2095 1550 
[06/08/2020][11:40:14]  -system err,No empty mobgrid(1): 3890 2117 1552 
[06/08/2020][11:40:14]  -system err,No empty mobgrid(1): 3891 2134 1552 
[06/08/2020][11:40:14]  -system err,No empty mobgrid: 3894 2038 1572 
[06/08/2020][11:40:14]  -system err,No empty mobgrid(1): 5655 3348 1618 
[06/08/2020][11:40:14]  -system err,No empty mobgrid(1): 5965 3390 1088 
[06/08/2020][11:40:14]  -system err,No empty mobgrid(1): 5971 3388 1086 
[06/08/2020][11:40:26]  -system err,No empty mobgrid(1): 466 2536 2084 
[06/08/2020][11:40:26]  -system err,No empty mobgrid(1): 541 2504 1992 
[06/08/2020][11:40:26]  -system err,No empty mobgrid(1): 601 2543 1952 
[06/08/2020][11:40:26]  -system err,No empty mobgrid(1): 602 2543 1941 
[06/08/2020][11:40:26]  -system err,No empty mobgrid(1): 708 2643 2004 
[06/08/2020][11:40:26]  -system err,No empty mobgrid: 791 2467 1837 
[06/08/2020][11:40:26]  -system err,No empty mobgrid(1): 1005 2369 1744 
[06/08/2020][11:40:26]  -system err,No empty mobgrid: 1193 2209 1735 
[06/08/2020][11:40:26]  -system err,No empty mobgrid(1): 1293 1945 1575 
[06/08/2020][11:40:26]  -system err,No empty mobgrid(1): 1297 1969 1621 
[06/08/2020][11:40:26]  -system err,No empty mobgrid: 1351 2012 1740 
[06/08/2020][11:40:26]  -system err,No empty mobgrid(1): 1407 1902 1754 
[06/08/2020][11:40:26]  -system err,No empty mobgrid(1): 1751 170 3788 
[06/08/2020][11:40:26]  -system err,No empty mobgrid(1): 1934 436 3788 
[06/08/2020][11:40:26]  -system err,No empty mobgrid(1): 1949 458 3740 
[06/08/2020][11:40:26]  -system err,No empty mobgrid(1): 2069 707 3771 
[06/08/2020][11:40:26]  -system err,No empty mobgrid(1): 2086 749 3808 
[06/08/2020][11:40:26]  -system err,No empty mobgrid(1): 2229 488 4044 
[06/08/2020][11:40:26]  -system err,No empty mobgrid: 2751 1739 1826 
[06/08/2020][11:40:26]  -system err,No empty mobgrid(1): 2943 1392 4037 
[06/08/2020][11:40:26]  -system err,No empty mobgrid(1): 2965 1418 4002 
[06/08/2020][11:40:26]  -system err,No empty mobgrid(1): 3585 770 4044 
[06/08/2020][11:40:26]  -system err,No empty mobgrid(1): 3852 2113 1634 
[06/08/2020][11:40:26]  -system err,No empty mobgrid(1): 3890 2116 1552 
[06/08/2020][11:40:26]  -system err,No empty mobgrid(1): 3891 2136 1552 
[06/08/2020][11:40:26]  -system err,No empty mobgrid(1): 4036 3623 2821 
[06/08/2020][11:40:26]  -system err,No empty mobgrid(1): 5971 3391 1086 
[06/08/2020][11:40:38] IP: 192.168.0.103 ADMIN CNFAccountLogin Mac: -271216030.113987390.-1693738811.1456405556 
[06/08/2020][11:40:38]  -system err,No empty mobgrid(1): 265 2328 2168 
[06/08/2020][11:40:38]  -system err,No empty mobgrid(1): 1005 2369 1741 
[06/08/2020][11:40:38]  -system err,No empty mobgrid(1): 1118 2334 1594 
[06/08/2020][11:40:38]  -system err,No empty mobgrid(1): 1206 2198 1694 
[06/08/2020][11:40:38]  -system err,No empty mobgrid(1): 1298 1981 1620 
[06/08/2020][11:40:38]  -system err,No empty mobgrid(1): 2544 918 3804 
[06/08/2020][11:40:38]  -system err,No empty mobgrid(1): 2633 1069 3814 
[06/08/2020][11:40:38]  -system err,No empty mobgrid(1): 2974 1473 3987 
[06/08/2020][11:40:38]  -system err,No empty mobgrid(1): 3458 2385 2117 
[06/08/2020][11:40:38]  -system err,No empty mobgrid(1): 3586 780 4068 
[06/08/2020][11:40:38]  -system err,No empty mobgrid(1): 3605 2448 4009 
[06/08/2020][11:40:38]  -system err,No empty mobgrid(1): 3891 2131 1551 
[06/08/2020][11:40:38]  -system err,No empty mobgrid(1): 3904 3661 3067 
[06/08/2020][11:40:38]  -system err,No empty mobgrid(1): 4106 3541 2896 
[06/08/2020][11:40:38]  -system err,No empty mobgrid(1): 5971 3390 1089 
[06/08/2020][11:40:50]  -system err,No empty mobgrid(1): 265 2328 2168 
[06/08/2020][11:40:50]  -system err,No empty mobgrid(1): 1229 2271 1719 
[06/08/2020][11:40:50]  -system err,No empty mobgrid(1): 1289 1975 1557 
[06/08/2020][11:40:50]  -system err,No empty mobgrid(1): 1297 1970 1620 
[06/08/2020][11:40:50]  -system err,No empty mobgrid(1): 1337 1984 1682 
[06/08/2020][11:40:50]  -system err,No empty mobgrid(1): 1345 1984 1722 
[06/08/2020][11:40:50]  -system err,No empty mobgrid(1): 2086 749 3809 
[06/08/2020][11:40:50]  -system err,No empty mobgrid(1): 2223 455 4027 
[06/08/2020][11:40:50]  -system err,No empty mobgrid(1): 2231 488 4036 
[06/08/2020][11:40:50]  -system err,No empty mobgrid(1): 2753 1746 1826 
[06/08/2020][11:40:50]  -system err,No empty mobgrid(1): 3375 1301 1678 
[06/08/2020][11:40:50]  -system err,No empty mobgrid(1): 3511 1332 4041 
[06/08/2020][11:40:50]  -system err,No empty mobgrid(1): 5817 3358 1426 
[06/08/2020][11:40:50]  -system err,No empty mobgrid(1): 5971 3390 1088 
[06/08/2020][11:40:51] IP: 192.168.0.103 ADMIN etc,createchar name:TesteBM 1 13 
[06/08/2020][11:40:57] IP: 192.168.0.103 ADMIN sta,Login char:TesteBM exp:0 level:0 conn:1 money:2000000000, store:0 
[06/08/2020][11:41:02]  -system err,No empty mobgrid(1): 1298 1976 1621 
[06/08/2020][11:41:02]  -system err,No empty mobgrid(1): 4036 3622 2821 
[06/08/2020][11:41:02]  -system err,No empty mobgrid(1): 5791 3358 1426 
[06/08/2020][11:41:12] IP: 192.168.0.103 ADMIN gm +set level 1010 
[06/08/2020][11:41:14]  -system err,No empty mobgrid(1): 1229 2271 1719 
[06/08/2020][11:41:14]  -system err,No empty mobgrid(1): 1293 1944 1572 
[06/08/2020][11:41:14]  -system err,No empty mobgrid(1): 1297 1968 1625 
[06/08/2020][11:41:14]  -system err,No empty mobgrid(1): 1337 1984 1684 
[06/08/2020][11:41:14]  -system err,No empty mobgrid(1): 2633 1069 3814 
[06/08/2020][11:41:14]  -system err,No empty mobgrid: 2745 1710 1826 
[06/08/2020][11:41:14]  -system err,No empty mobgrid(1): 4106 3542 2894 
[06/08/2020][11:41:19] IP: 192.168.0.103 ADMIN gm +set learn 
[06/08/2020][11:41:26]  -system err,No empty mobgrid(1): 1298 1978 1621 
[06/08/2020][11:41:26]  -system err,No empty mobgrid(1): 5841 3424 1460 
[06/08/2020][11:41:36] IP: 192.168.0.103 ADMIN sta,Login char:TesteBM exp:0 level:1010 conn:1 money:2000000000, store:0 
[06/08/2020][11:41:36]  ADMIN etc,changecity city:0 X:2099 Y:2096 
[06/08/2020][11:41:38]  -system err,No empty mobgrid(1): 1229 2269 1719 
[06/08/2020][11:41:38]  -system err,No empty mobgrid(1): 1297 1969 1623 
[06/08/2020][11:41:38]  -system err,No empty mobgrid(1): 4036 3623 2821 
[06/08/2020][11:41:50]  -system err,No empty mobgrid(1): 2633 1068 3814 
[06/08/2020][11:41:50]  -system err,No empty mobgrid(1): 3488 619 3757 
[06/08/2020][11:41:50]  -system err,No empty mobgrid(1): 5815 3424 1460 
[06/08/2020][11:42:02]  -system err,No empty mobgrid(1): 1297 1969 1620 
[06/08/2020][11:42:13] IP: 192.168.0.103 ADMIN gm +set special2 255 
[06/08/2020][11:42:14]  -system err,No empty mobgrid(1): 1298 1977 1623 
[06/08/2020][11:42:21]  -system err,standingby processer delete hp zero mob 
[06/08/2020][11:42:21]  -system err,standingby processer delete hp zero mob 
[06/08/2020][11:42:21]  -system err,standingby processer delete hp zero mob 
[06/08/2020][11:42:21]  -system err,standingby processer delete hp zero mob 
[06/08/2020][11:42:22]  -system err,standingby processer delete hp zero mob 
[06/08/2020][11:42:22]  -system err,standingby processer delete hp zero mob 
[06/08/2020][11:42:23]  -system err,standingby processer delete hp zero mob 
[06/08/2020][11:42:23]  -system err,standingby processer delete hp zero mob 
[06/08/2020][11:42:26]  -system err,standingby processer delete hp zero mob 
[06/08/2020][11:42:26]  -system err,standingby processer delete hp zero mob 
[06/08/2020][11:42:26]  -system err,No empty mobgrid(1): 1297 1968 1624 
[06/08/2020][11:42:27]  -system err,standingby processer delete hp zero mob 
[06/08/2020][11:42:27]  -system err,standingby processer delete hp zero mob 
[06/08/2020][11:42:27]  -system err,standingby processer delete hp zero mob 
[06/08/2020][11:42:28]  -system err,standingby processer delete hp zero mob 
[06/08/2020][11:42:28]  -system err,standingby processer delete hp zero mob 
[06/08/2020][11:42:28]  -system err,standingby processer delete hp zero mob 
[06/08/2020][11:42:31]  -system err,standingby processer delete hp zero mob 
[06/08/2020][11:42:31]  -system err,standingby processer delete hp zero mob 
[06/08/2020][11:42:32]  -system err,standingby processer delete hp zero mob 
[06/08/2020][11:42:32]  -system err,standingby processer delete hp zero mob 
[06/08/2020][11:42:33]  -system err,standingby processer delete hp zero mob 
[06/08/2020][11:42:33]  -system err,standingby processer delete hp zero mob 
[06/08/2020][11:42:35]  -system err,standingby processer delete hp zero mob 
[06/08/2020][11:42:36]  -system err,standingby processer delete hp zero mob 
[06/08/2020][11:42:36]  -system err,standingby processer delete hp zero mob 
[06/08/2020][11:42:37]  -system err,standingby processer delete hp zero mob 
[06/08/2020][11:42:37]  -system err,standingby processer delete hp zero mob 
[06/08/2020][11:42:38]  -system err,standingby processer delete hp zero mob 
[06/08/2020][11:42:38]  -system err,standingby processer delete hp zero mob 
[06/08/2020][11:42:38]  -system err,No empty mobgrid(1): 5832 3426 1432 
[06/08/2020][11:42:39]  -system err,standingby processer delete hp zero mob 
[06/08/2020][11:42:39]  -system err,standingby processer delete hp zero mob 
[06/08/2020][11:42:40]  -system err,standingby processer delete hp zero mob 
[06/08/2020][11:42:40]  -system err,standingby processer delete hp zero mob 
[06/08/2020][11:42:41]  -system err,standingby processer delete hp zero mob 
[06/08/2020][11:42:43]  -system err,standingby processer delete hp zero mob 
[06/08/2020][11:42:43]  -system err,standingby processer delete hp zero mob 
[06/08/2020][11:42:44]  -system err,standingby processer delete hp zero mob 
[06/08/2020][11:42:44]  -system err,standingby processer delete hp zero mob 
[06/08/2020][11:42:45]  -system err,standingby processer delete hp zero mob 
[06/08/2020][11:42:47]  -system err,standingby processer delete hp zero mob 
[06/08/2020][11:42:48]  -system err,standingby processer delete hp zero mob 
[06/08/2020][11:42:50]  -system err,No empty mobgrid(1): 1297 1972 1620 
[06/08/2020][11:42:50]  -system err,No empty mobgrid(1): 5841 3426 1459 
