[06/08/2020][13:17:56]  -system sys,start server 
[06/08/2020][13:17:56]  -system err, Reading Guild error - Guild counter zero 
[06/08/2020][13:18:08]  -system err,No empty mobgrid(1): 70 2224 2063 
[06/08/2020][13:18:08]  -system err,No empty mobgrid(1): 73 2194 2150 
[06/08/2020][13:18:08]  -system err,No empty mobgrid(1): 250 2382 2140 
[06/08/2020][13:18:08]  -system err,No empty mobgrid(1): 261 2344 2156 
[06/08/2020][13:18:08]  -system err,No empty mobgrid(1): 324 2368 2213 
[06/08/2020][13:18:08]  -system err,No empty mobgrid(1): 378 2434 2108 
[06/08/2020][13:18:08]  -system err,No empty mobgrid(1): 420 2462 2136 
[06/08/2020][13:18:08]  -system err,No empty mobgrid: 426 2472 2082 
[06/08/2020][13:18:08]  -system err,No empty mobgrid(1): 604 2522 1952 
[06/08/2020][13:18:08]  -system err,No empty mobgrid(1): 715 2630 1938 
[06/08/2020][13:18:08]  -system err,No empty mobgrid: 795 2506 1836 
[06/08/2020][13:18:08]  -system err,No empty mobgrid(1): 999 2414 1744 
[06/08/2020][13:18:08]  -system err,No empty mobgrid(1): 1047 2350 1720 
[06/08/2020][13:18:08]  -system err,No empty mobgrid: 1122 2323 1611 
[06/08/2020][13:18:08]  -system err,No empty mobgrid: 1198 2209 1692 
[06/08/2020][13:18:08]  -system err,No empty mobgrid(1): 1298 1977 1620 
[06/08/2020][13:18:08]  -system err,No empty mobgrid: 1300 1960 1635 
[06/08/2020][13:18:08]  -system err,No empty mobgrid(1): 1366 1966 1738 
[06/08/2020][13:18:08]  -system err,No empty mobgrid(1): 1401 1889 1677 
[06/08/2020][13:18:08]  -system err,No empty mobgrid(1): 1814 247 3776 
[06/08/2020][13:18:08]  -system err,No empty mobgrid(1): 1822 250 3749 
[06/08/2020][13:18:08]  -system err,No empty mobgrid: 1871 319 3744 
[06/08/2020][13:18:08]  -system err,No empty mobgrid(1): 1924 430 3752 
[06/08/2020][13:18:08]  -system err,No empty mobgrid(1): 1972 400 3824 
[06/08/2020][13:18:08]  -system err,No empty mobgrid(1): 2016 587 3779 
[06/08/2020][13:18:08]  -system err,No empty mobgrid(1): 2019 596 3772 
[06/08/2020][13:18:08]  -system err,No empty mobgrid(1): 2048 664 3766 
[06/08/2020][13:18:08]  -system err,No empty mobgrid(1): 2050 682 3788 
[06/08/2020][13:18:08]  -system err,No empty mobgrid(1): 2068 708 3778 
[06/08/2020][13:18:08]  -system err,No empty mobgrid(1): 2220 420 4027 
[06/08/2020][13:18:08]  -system err,No empty mobgrid(1): 2663 2348 2196 
[06/08/2020][13:18:08]  -system err,No empty mobgrid(1): 2857 1197 4064 
[06/08/2020][13:18:08]  -system err,No empty mobgrid: 2869 1196 4023 
[06/08/2020][13:18:08]  -system err,No empty mobgrid(1): 2974 1473 3987 
[06/08/2020][13:18:08]  -system err,No empty mobgrid(1): 2982 1462 4024 
[06/08/2020][13:18:08]  -system err,No empty mobgrid(1): 3060 1379 3745 
[06/08/2020][13:18:08]  -system err,No empty mobgrid(1): 3070 1403 3753 
[06/08/2020][13:18:08]  -system err,No empty mobgrid: 3168 1181 1728 
[06/08/2020][13:18:08]  -system err,No empty mobgrid(1): 3194 1264 1722 
[06/08/2020][13:18:08]  -system err,No empty mobgrid(1): 3375 1299 1678 
