[06/08/2020][13:32:10]  -system sys,start server 
[06/08/2020][13:32:10]  -system err, Reading Guild error - Guild counter zero 
[06/08/2020][13:32:19] IP: 192.168.0.103 ADMIN CNFAccountLogin Mac: -271216030.113987390.-1693738811.1456405556 
[06/08/2020][13:32:22]  -system err,No empty mobgrid(1): 139 2274 2104 
[06/08/2020][13:32:22]  -system err,No empty mobgrid(1): 250 2382 2140 
[06/08/2020][13:32:22]  -system err,No empty mobgrid(1): 328 2318 2223 
[06/08/2020][13:32:22]  -system err,No empty mobgrid(1): 391 2446 2092 
[06/08/2020][13:32:22]  -system err,No empty mobgrid(1): 561 2524 1935 
[06/08/2020][13:32:22]  -system err,No empty mobgrid(1): 573 2513 1974 
[06/08/2020][13:32:22]  -system err,No empty mobgrid(1): 615 2572 2024 
[06/08/2020][13:32:22]  -system err,No empty mobgrid(1): 708 2640 2004 
[06/08/2020][13:32:22]  -system err,No empty mobgrid: 798 2535 1831 
[06/08/2020][13:32:22]  -system err,No empty mobgrid(1): 834 2470 1784 
[06/08/2020][13:32:22]  -system err,No empty mobgrid(1): 935 2600 2132 
[06/08/2020][13:32:22]  -system err,No empty mobgrid(1): 998 2414 1744 
[06/08/2020][13:32:22]  -system err,No empty mobgrid(1): 1006 2369 1746 
[06/08/2020][13:32:22]  -system err,No empty mobgrid(1): 1179 2272 1748 
[06/08/2020][13:32:22]  -system err,No empty mobgrid(1): 1230 2251 1735 
[06/08/2020][13:32:22]  -system err,No empty mobgrid(1): 1250 2257 1620 
[06/08/2020][13:32:22]  -system err,No empty mobgrid(1): 1258 2272 1598 
[06/08/2020][13:32:22]  -system err,No empty mobgrid(1): 1298 1976 1621 
[06/08/2020][13:32:22]  -system err,No empty mobgrid(1): 1300 1962 1635 
[06/08/2020][13:32:22]  -system err,No empty mobgrid(1): 1370 1964 1700 
[06/08/2020][13:32:22]  -system err,No empty mobgrid(1): 1906 400 3798 
[06/08/2020][13:32:22]  -system err,No empty mobgrid(1): 1972 400 3824 
[06/08/2020][13:32:22]  -system err,No empty mobgrid(1): 1995 560 3801 
