2116	2150	1	-40	5	물약상인마틴
2107	2144	1	0	-3	조합원발머스
2130	2126	1	0	0	방어구상라이니
2134	2126	1	-60	-15	퍼스트포어러너
2144	2120	1	0	-10	기사단장
2144	2116	1	0	-5	방어구상스미스
2074	2120	1	0	-5	방어구상아노드
2074	2124	1	0	-9	아치마스터
2090	2126	1	-60	5	방어구상라페인
2094	2126	1	-50	-15	엘더포에마
2104	2116	1	-25	-13	창고가드
2076	2100	1	0	-5	무기상인갈포드
2068	2068	1	0	-5	골드드래곤
2144	2078	1	0	-10	물약상인아키
2146	2080	1	0	-7	창고가드
2152	2068	1	0	-3	어빌러티마스터
2117	2101	3	-30	-13	텔레포트존
2141	2069	3	0	-5	텔레포트존
2112	2057	2	0	-5	트레이닝캠프
2112	2082	1	0	-10	양성소교관
2123	2144	2	-30	-15	PK존입구
2104	2148	2	-45	-3	길드존
2144	2102	2	0	-5	필드입구
2100	2116	1	0	3	프리미엄상인넬
2146	2076	1	-65	5	프리미엄상인넬
2486	2129	4	0	0	오크성남문
2518	2105	4	0	0	오크성동문
2669	2157	2	0	0	던전입구
2365	2284	2	0	0	던전입구
2445	1721	1	0	-5	용병단장
2506	1726	1	0	-5	제사장
2516	1726	1	0	-5	연금술사제피
2460	1734	1	0	-5	대장간아놀드
2528	1726	1	0	-5	에일린
2528	1734	1	0	-5	컴파운더
2536	1734	1	0	-5	아카다
2486	1702	1	0	-5	상인루티
2474	1688	1	0	-4	세이버오브테라
2466	1692	1	0	0	무기상라페인
2466	1686	1	0	0	상인아노드
2500	1690	1	-30	-13	상인라이니
2500	1684	1	0	-5	무기상스미스
2490	1688	1	0	-5	실버드래곤
2538	1714	1	0	-5	조합원카라
2550	1716	1	0	-5	상인루시
2594	1724	1	0	-5	세이버오브헤라
2481	1717	3	0	-5	텔레포트존
2469	1717	3	0	-5	텔레포트존
2453	1717	3	-30	-13	텔레포트존
2434	1719	2	0	-5	필드입구
2485	1750	2	0	-5	필드입구
2555	1730	2	0	-5	콜로세움입구
2575	1739	2	0	-5	소경기장
2575	1716	2	0	-5	소경기장
2602	1733	2	0	-5	대경기장
2478	1688	1	-40	-13	프리미엄상인넬
2594	1728	1	0	-10	프리미엄상인넬
2379	1613	2	0	0	미스틱랜드입구
2398	1729	2	0	0	혼돈의큐브입구
1965	1773	2	0	0	워터엘리멘탈존
1825	1774	2	0	0	언더월드입구
1800	1726	2	0	0	중립지역
1742	1815	2	0	0	아케로니아왕국
1742	1640	2	0	0	헤칼로티아왕국
2240	1273	2	0	0	두개의성
2468	1994	1	0	0	_
2468	1998	1	0	-5	_
2468	1996	1	0	-5	_
2468	1992	1	0	0	_
